"city","city_ibge_code","confirmed","confirmed_per_100k_inhabitants","date","death_rate","deaths","estimated_population_2019","is_last","place_type","state"
"Igaracy","2502607",1,16.34788,2020-03-24,NA,0,6117,TRUE,"city","PB"
"João Pessoa","2507507",2,0.24721,2020-03-24,NA,0,809015,TRUE,"city","PB"
NA,"25",3,0.07466,2020-03-24,NA,0,4018127,TRUE,"state","PB"
"Aracaju","2800308",12,1.82645,2020-03-24,NA,0,657013,TRUE,"city","SE"
"Nossa Senhora da Glória","2804508",1,2.70827,2020-03-24,NA,0,36924,TRUE,"city","SE"
"Propriá","2805703",2,6.75083,2020-03-24,NA,0,29626,TRUE,"city","SE"
NA,"28",15,0.65254,2020-03-24,NA,0,2298696,TRUE,"state","SE"
"Rio Branco","1200401",17,4.17363,2020-03-23,NA,0,407319,TRUE,"city","AC"
NA,"12",17,1.92758,2020-03-23,NA,0,881935,TRUE,"state","AC"
"Maceió","2704302",8,0.78512,2020-03-23,NA,0,1018948,TRUE,"city","AL"
NA,"27",8,0.23971,2020-03-23,NA,0,3337357,TRUE,"state","AL"
"Manaus","1302603",31,1.42022,2020-03-23,NA,0,2182763,TRUE,"city","AM"
"Parintins","1303403",1,0.8751,2020-03-23,NA,0,114273,TRUE,"city","AM"
NA,"13",32,0.77209,2020-03-23,NA,0,4144597,TRUE,"state","AM"
"Macapá","1600303",1,0.19868,2020-03-23,NA,0,503327,TRUE,"city","AP"
NA,"16",1,0.11824,2020-03-23,NA,0,845731,TRUE,"state","AP"
"Barreiras","2903201",1,0.64334,2020-03-23,NA,0,155439,TRUE,"city","BA"
"Brumado","2904605",1,1.48821,2020-03-23,NA,0,67195,TRUE,"city","BA"
"Camaçari","2905701",1,0.3343,2020-03-23,NA,0,299132,TRUE,"city","BA"
"Conceição do Jacuípe","2908507",1,3.01632,2020-03-23,NA,0,33153,TRUE,"city","BA"
"Feira de Santana","2910800",6,0.97581,2020-03-23,NA,0,614872,TRUE,"city","BA"
"Itabuna","2914802",1,0.46899,2020-03-23,NA,0,213223,TRUE,"city","BA"
"Jequié","2918001",1,0.64117,2020-03-23,NA,0,155966,TRUE,"city","BA"
"Juazeiro","2918407",1,0.46145,2020-03-23,NA,0,216707,TRUE,"city","BA"
"Lauro de Freitas","2919207",3,1.51179,2020-03-23,NA,0,198440,TRUE,"city","BA"
"Porto Seguro","2925303",8,5.38047,2020-03-23,NA,0,148686,TRUE,"city","BA"
"Prado","2925501",2,7.09874,2020-03-23,NA,0,28174,TRUE,"city","BA"
"Salvador","2927408",37,1.28815,2020-03-23,NA,0,2872347,TRUE,"city","BA"
NA,"29",63,0.42358,2020-03-23,NA,0,14873064,TRUE,"state","BA"
"Aquiraz","2301000",6,7.47468,2020-03-23,NA,0,80271,TRUE,"city","CE"
"Fortaleza","2304400",151,5.65682,2020-03-23,NA,0,2669342,TRUE,"city","CE"
"Fortim","2304459",1,6.06796,2020-03-23,NA,0,16480,TRUE,"city","CE"
"Importados",NA,2,NA,2020-03-23,NA,0,NA,TRUE,"city","CE"
"Juazeiro do Norte","2307304",1,0.36469,2020-03-23,NA,0,274207,TRUE,"city","CE"
"Sobral","2312908",3,1.43585,2020-03-23,NA,0,208935,TRUE,"city","CE"
NA,"23",164,1.79587,2020-03-23,NA,0,9132078,TRUE,"state","CE"
"Brasília","5300108",138,4.57671,2020-03-23,NA,0,3015268,TRUE,"city","DF"
NA,"53",138,4.57671,2020-03-23,NA,0,3015268,TRUE,"state","DF"
"Cachoeiro de Itapemirim","3201209",1,0.47853,2020-03-23,NA,0,208972,TRUE,"city","ES"
"Cariacica","3201308",1,0.26227,2020-03-23,NA,0,381285,TRUE,"city","ES"
"Linhares","3203205",2,1.15237,2020-03-23,NA,0,173555,TRUE,"city","ES"
"Santa Teresa","3204609",1,4.23908,2020-03-23,NA,0,23590,TRUE,"city","ES"
"Serra","3205002",1,0.19323,2020-03-23,NA,0,517510,TRUE,"city","ES"
"Vila Velha","3205200",13,2.63244,2020-03-23,NA,0,493838,TRUE,"city","ES"
"Vitória","3205309",14,3.86637,2020-03-23,NA,0,362097,TRUE,"city","ES"
NA,"32",33,0.82117,2020-03-23,NA,0,4018650,TRUE,"state","ES"
"Anápolis","5201108",2,0.5169,2020-03-23,NA,0,386923,TRUE,"city","GO"
"Aparecida de Goiânia","5201405",2,0.34591,2020-03-23,NA,0,578179,TRUE,"city","GO"
"Catalão","5205109",1,0.91892,2020-03-23,NA,0,108823,TRUE,"city","GO"
"Goiânia","5208707",12,0.7915,2020-03-23,NA,0,1516113,TRUE,"city","GO"
"Jataí","5211909",1,0.99126,2020-03-23,NA,0,100882,TRUE,"city","GO"
"Rio Verde","5218805",5,2.12182,2020-03-23,NA,0,235647,TRUE,"city","GO"
NA,"52",23,0.32771,2020-03-23,NA,0,7018354,TRUE,"state","GO"
"São Luís","2111300",8,0.72603,2020-03-23,NA,0,1101884,TRUE,"city","MA"
NA,"21",8,0.11307,2020-03-23,NA,0,7075181,TRUE,"state","MA"
"Belo Horizonte","3106200",60,2.38847,2020-03-23,NA,0,2512070,TRUE,"city","MG"
"Betim","3106705",1,0.22761,2020-03-23,NA,0,439340,TRUE,"city","MG"
"Bom Despacho","3107406",1,1.97609,2020-03-23,NA,0,50605,TRUE,"city","MG"
"Campos Altos","3111507",1,6.46789,2020-03-23,NA,0,15461,TRUE,"city","MG"
"Contagem","3118601",2,0.30127,2020-03-23,NA,0,663855,TRUE,"city","MG"
"Coronel Fabriciano","3119401",1,0.91029,2020-03-23,NA,0,109855,TRUE,"city","MG"
"Divinópolis","3122306",1,0.41976,2020-03-23,NA,0,238230,TRUE,"city","MG"
"Ipatinga","3131307",1,0.37964,2020-03-23,NA,0,263410,TRUE,"city","MG"
"Juiz de Fora","3136702",8,1.40629,2020-03-23,NA,0,568873,TRUE,"city","MG"
"Lagoa da Prata","3137205",1,1.91699,2020-03-23,NA,0,52165,TRUE,"city","MG"
"Mariana","3140001",2,3.29359,2020-03-23,NA,0,60724,TRUE,"city","MG"
"Nova Lima","3144805",7,7.37704,2020-03-23,NA,0,94889,TRUE,"city","MG"
"Patrocínio","3148103",1,1.10184,2020-03-23,NA,0,90757,TRUE,"city","MG"
"Poços de Caldas","3151800",1,0.59738,2020-03-23,NA,0,167397,TRUE,"city","MG"
"Sete Lagoas","3167202",2,0.83459,2020-03-23,NA,0,239639,TRUE,"city","MG"
"Timóteo","3168705",1,1.11307,2020-03-23,NA,0,89842,TRUE,"city","MG"
"Uberaba","3170107",3,0.89879,2020-03-23,NA,0,333783,TRUE,"city","MG"
"Uberlândia","3170206",6,0.86792,2020-03-23,NA,0,691305,TRUE,"city","MG"
NA,"31",128,0.60466,2020-03-23,NA,0,21168791,TRUE,"state","MG"
"Campo Grande","5002704",19,2.12058,2020-03-23,NA,0,895982,TRUE,"city","MS"
"Ponta Porã","5006606",1,1.08078,2020-03-23,NA,0,92526,TRUE,"city","MS"
"Sidrolândia","5007901",1,1.73415,2020-03-23,NA,0,57665,TRUE,"city","MS"
NA,"50",21,0.75567,2020-03-23,NA,0,2778986,TRUE,"state","MS"
"Cuiabá","5103403",5,0.81626,2020-03-23,NA,0,612547,TRUE,"city","MT"
"Várzea Grande","5108402",1,0.35091,2020-03-23,NA,0,284971,TRUE,"city","MT"
NA,"51",6,0.17219,2020-03-23,NA,0,3484466,TRUE,"state","MT"
"Marabá","1504208",1,0.35798,2020-03-23,NA,0,279349,TRUE,"city","PA"
NA,"15",5,0.05812,2020-03-23,NA,0,8602865,TRUE,"state","PA"
"Igaracy","2502607",1,16.34788,2020-03-23,NA,0,6117,FALSE,"city","PB"
"João Pessoa","2507507",1,0.12361,2020-03-23,NA,0,809015,FALSE,"city","PB"
NA,"25",2,0.04977,2020-03-23,NA,0,4018127,FALSE,"state","PB"
"Belo Jardim","2601706",1,1.30823,2020-03-23,NA,0,76439,TRUE,"city","PE"
"Caruaru","2604106",1,0.27692,2020-03-23,NA,0,361118,TRUE,"city","PE"
"Importados",NA,4,NA,2020-03-23,NA,0,NA,TRUE,"city","PE"
"Jaboatão dos Guararapes","2607901",3,0.42717,2020-03-23,NA,0,702298,TRUE,"city","PE"
"Olinda","2609600",2,0.50958,2020-03-23,NA,0,392482,TRUE,"city","PE"
"Petrolina","2611101",1,0.28641,2020-03-23,NA,0,349145,TRUE,"city","PE"
"Recife","2611606",30,1.8229,2020-03-23,NA,0,1645727,TRUE,"city","PE"
NA,"26",42,0.43947,2020-03-23,NA,0,9557071,TRUE,"state","PE"
"Campo Largo","4104204",1,0.75756,2020-03-23,NA,0,132002,TRUE,"city","PR"
"Cascavel","4104808",1,0.30446,2020-03-23,NA,0,328454,TRUE,"city","PR"
"Cianorte","4105508",6,7.26216,2020-03-23,NA,0,82620,TRUE,"city","PR"
"Colombo","4105805",1,0.4103,2020-03-23,NA,0,243726,TRUE,"city","PR"
"Curitiba","4106902",34,1.75883,2020-03-23,NA,0,1933105,TRUE,"city","PR"
"Foz do Iguaçu","4108304",4,1.5472,2020-03-23,NA,0,258532,TRUE,"city","PR"
"Guaíra","4108809",1,3.01941,2020-03-23,NA,0,33119,TRUE,"city","PR"
"Importados",NA,4,NA,2020-03-23,NA,0,NA,TRUE,"city","PR"
"Londrina","4113700",3,0.52656,2020-03-23,NA,0,569733,TRUE,"city","PR"
"Maringá","4115200",1,0.23603,2020-03-23,NA,0,423666,TRUE,"city","PR"
"Pato Branco","4118501",1,1.20655,2020-03-23,NA,0,82881,TRUE,"city","PR"
"Pinhais","4119152",2,1.51335,2020-03-23,NA,0,132157,TRUE,"city","PR"
"Ponta Grossa","4119905",1,0.2843,2020-03-23,NA,0,351736,TRUE,"city","PR"
NA,"41",60,0.52475,2020-03-23,NA,0,11433957,TRUE,"state","PR"
"Barra Mansa","3300407",1,0.54226,2020-03-23,NA,0,184412,TRUE,"city","RJ"
"Guapimirim","3301850",1,1.65243,2020-03-23,NA,0,60517,TRUE,"city","RJ"
"Importados",NA,2,NA,2020-03-23,NA,0,NA,TRUE,"city","RJ"
"Miguel Pereira","3302908",1,3.91573,2020-03-23,1,1,25538,TRUE,"city","RJ"
"Niterói","3303302",10,1.9471,2020-03-23,0.1,1,513584,TRUE,"city","RJ"
"Petrópolis","3303906",3,0.97978,2020-03-23,0.3333,1,306191,TRUE,"city","RJ"
"Rio de Janeiro","3304557",212,3.15528,2020-03-23,0.0047,1,6718903,TRUE,"city","RJ"
"São Gonçalo","3304904",3,0.27654,2020-03-23,NA,0,1084839,TRUE,"city","RJ"
