"date","state","city","place_type","confirmed","deaths","is_last","estimated_population_2019","city_ibge_code","confirmed_per_100k_inhabitants","death_rate"
2020-05-20,"AL","","state",4437,251,"True",3337357,27,132.94952,0.0566
2020-05-20,"AM","","state",23704,1561,"True",4144597,13,571.92533,0.0659
2020-05-20,"AP","","state",4549,142,"True",845731,16,537.87788,0.0312
2020-05-20,"DF","","state",5271,78,"True",3015268,53,174.81033,0.0148
2020-05-20,"ES","","state",8495,346,"True",4018650,32,211.3894,0.0407
2020-05-20,"GO","","state",2049,78,"True",7018354,52,29.19488,0.0381
2020-05-20,"MG","","state",5286,177,"True",21168791,31,24.97072,0.0335
2020-05-20,"MS","","state",693,17,"True",2778986,50,24.93715,0.0245
2020-05-20,"MT","","state",1090,32,"True",3484466,51,31.28169,0.0294
2020-05-20,"PA","","state",18929,1778,"True",8602865,15,220.03135,0.0939
2020-05-20,"PB","","state",5838,230,"True",4018127,25,145.29157,0.0394
2020-05-20,"PE","","state",22560,1834,"True",9557071,26,236.05559,0.0813
2020-05-20,"PI","","state",2852,91,"True",3273227,22,87.13114,0.0319
2020-05-20,"RS","","state",4973,161,"True",11377239,43,43.71008,0.0324
2020-05-20,"SC","","state",5499,94,"True",7164788,42,76.75035,0.0171
2020-05-20,"SP","","state",69859,5363,"True",45919049,35,152.13512,0.0768
2020-05-19,"AC","","state",2482,73,"True",881935,12,281.42664,0.0294
2020-05-19,"AL","","state",4319,234,"False",3337357,27,129.41378,0.0542
2020-05-19,"AM","","state",22132,1491,"False",4144597,13,533.99643,0.0674
2020-05-19,"AP","","state",4310,136,"False",845731,16,509.61831,0.0316
2020-05-19,"BA","","state",8636,326,"True",14873064,29,58.0647,0.0377
2020-05-19,"CE","","state",28112,1856,"True",9132078,23,307.83793,0.066
2020-05-19,"DF","","state",4853,72,"False",3015268,53,160.94755,0.0148
2020-05-19,"ES","","state",7693,325,"False",4018650,32,191.43245,0.0422
2020-05-19,"GO","","state",1880,73,"False",7018354,52,26.78691,0.0388
2020-05-19,"MA","","state",15114,634,"True",7075181,21,213.61998,0.0419
2020-05-19,"MG","","state",4977,167,"False",21168791,31,23.51103,0.0336
2020-05-19,"MS","","state",642,16,"False",2778986,50,23.10195,0.0249
2020-05-19,"MT","","state",1005,32,"False",3484466,51,28.8423,0.0318
2020-05-19,"PB","","state",5300,219,"False",4018127,25,131.90225,0.0413
2020-05-19,"PE","","state",21242,1741,"False",9557071,26,222.26475,0.082
2020-05-19,"PI","","state",2637,87,"False",3273227,22,80.5627,0.033
2020-05-19,"PR","","state",2519,133,"True",11433957,41,22.03087,0.0528
2020-05-19,"RJ","","state",27805,3079,"True",17264943,33,161.0489,0.1107
2020-05-19,"RO","","state",2413,88,"True",1777225,11,135.77347,0.0365
2020-05-19,"RR","","state",1988,64,"True",605761,14,328.18224,0.0322
2020-05-19,"RS","","state",3798,160,"False",11377239,43,33.38244,0.0421
2020-05-19,"SC","","state",5413,91,"False",7164788,42,75.55004,0.0168
2020-05-19,"SE","","state",3967,63,"True",2298696,28,172.5761,0.0159
2020-05-19,"SP","","state",65995,5147,"False",45919049,35,143.72031,0.078
2020-05-18,"AC","","state",2234,67,"False",881935,12,253.30665,0.03
2020-05-18,"AL","","state",4031,221,"False",3337357,27,120.7842,0.0548
2020-05-18,"AM","","state",20913,1433,"False",4144597,13,504.58464,0.0685
2020-05-18,"AP","","state",4023,127,"False",845731,16,475.68317,0.0316
2020-05-18,"BA","","state",8581,312,"False",14873064,29,57.6949,0.0364
2020-05-18,"CE","","state",26363,1748,"False",9132078,23,288.68566,0.0663
2020-05-18,"DF","","state",4618,66,"False",3015268,53,153.15388,0.0143
2020-05-18,"ES","","state",7157,302,"False",4018650,32,178.09463,0.0422
2020-05-18,"GO","","state",1781,73,"False",7018354,52,25.37632,0.041
2020-05-18,"MA","","state",14198,604,"False",7075181,21,200.67331,0.0425
2020-05-18,"MG","","state",4695,161,"False",21168791,31,22.17888,0.0343
2020-05-18,"MS","","state",613,16,"False",2778986,50,22.05841,0.0261
2020-05-18,"MT","","state",941,30,"False",3484466,51,27.00557,0.0319
2020-05-18,"PA","","state",15467,1392,"False",8602865,15,179.78894,0.09
2020-05-18,"PB","","state",4786,207,"False",4018127,25,119.11022,0.0433
2020-05-18,"PE","","state",20094,1640,"False",9557071,26,210.2527,0.0816
2020-05-18,"PI","","state",2440,85,"False",3273227,22,74.54417,0.0348
2020-05-18,"PR","","state",2390,130,"False",11433957,41,20.90265,0.0544
2020-05-18,"RJ","","state",26665,2852,"False",17264943,33,154.44592,0.107
2020-05-18,"RO","","state",2043,83,"False",1777225,11,114.95449,0.0406
2020-05-18,"RR","","state",1882,60,"False",605761,14,310.68359,0.0319
2020-05-18,"RS","","state",3750,151,"False",11377239,43,32.96055,0.0403
2020-05-18,"SC","","state",5175,85,"False",7164788,42,72.22824,0.0164
2020-05-18,"SE","","state",3566,59,"False",2298696,28,155.13143,0.0165
2020-05-18,"SP","","state",63066,4823,"False",45919049,35,137.34169,0.0765
2020-05-18,"TO","","state",1646,38,"True",1572866,17,104.64973,0.0231
2020-05-17,"AC","","state",1996,62,"False",881935,12,226.32053,0.0311
2020-05-17,"AL","","state",3816,210,"False",3337357,27,114.34198,0.055
2020-05-17,"AM","","state",20328,1413,"False",4144597,13,490.46988,0.0695
2020-05-17,"AP","","state",3952,119,"False",845731,16,467.28806,0.0301
2020-05-17,"BA","","state",8443,295,"False",14873064,29,56.76705,0.0349
2020-05-17,"CE","","state",24255,1641,"False",9132078,23,265.6022,0.0677
2020-05-17,"DF","","state",4368,58,"False",3015268,53,144.86275,0.0133
2020-05-17,"ES","","state",6744,285,"False",4018650,32,167.81755,0.0423
2020-05-17,"GO","","state",1692,70,"False",7018354,52,24.10822,0.0414
2020-05-17,"MA","","state",13238,576,"False",7075181,21,187.10475,0.0435
2020-05-17,"MG","","state",4611,156,"False",21168791,31,21.78207,0.0338
2020-05-17,"MS","","state",570,15,"False",2778986,50,20.51108,0.0263
2020-05-17,"MT","","state",901,27,"False",3484466,51,25.85762,0.03
2020-05-17,"PA","","state",14201,1280,"False",8602865,15,165.07291,0.0901
2020-05-17,"PB","","state",4347,194,"False",4018127,25,108.18473,0.0446
2020-05-17,"PE","","state",19452,1516,"False",9557071,26,203.53516,0.0779
2020-05-17,"PI","","state",2287,80,"False",3273227,22,69.86989,0.035
2020-05-17,"PR","","state",2316,127,"False",11433957,41,20.25545,0.0548
2020-05-17,"RJ","","state",22238,2715,"False",17264943,33,128.80436,0.1221
2020-05-17,"RN","","state",3138,139,"True",3506853,24,89.48194,0.0443
2020-05-17,"RO","","state",1963,74,"False",1777225,11,110.45309,0.0377
2020-05-17,"RR","","state",1791,51,"False",605761,14,295.66116,0.0285
2020-05-17,"RS","","state",3735,144,"False",11377239,43,32.8287,0.0386
2020-05-17,"SC","","state",4776,83,"False",7164788,42,66.65933,0.0174
2020-05-17,"SE","","state",3343,57,"False",2298696,28,145.43028,0.0171
2020-05-17,"SP","","state",62345,4782,"False",45919049,35,135.77154,0.0767
2020-05-17,"TO","","state",1496,32,"False",1572866,17,95.113,0.0214
2020-05-16,"AC","","state",1867,59,"False",881935,12,211.69361,0.0316
2020-05-16,"AL","","state",3593,199,"False",3337357,27,107.66004,0.0554
2020-05-16,"AM","","state",19677,1375,"False",4144597,13,474.76269,0.0699
2020-05-16,"AP","","state",3834,108,"False",845731,16,453.33564,0.0282
2020-05-16,"BA","","state",8314,286,"False",14873064,29,55.89971,0.0344
2020-05-16,"CE","","state",23795,1614,"False",9132078,23,260.56501,0.0678
2020-05-16,"DF","","state",4140,56,"False",3015268,53,137.30123,0.0135
2020-05-16,"ES","","state",6595,271,"False",4018650,32,164.10984,0.0411
2020-05-16,"GO","","state",1652,69,"False",7018354,52,23.53828,0.0418
2020-05-16,"MA","","state",12492,549,"False",7075181,21,176.56085,0.0439
2020-05-16,"MG","","state",4474,150,"False",21168791,31,21.13489,0.0335
2020-05-16,"MS","","state",508,15,"False",2778986,50,18.28005,0.0295
2020-05-16,"MT","","state",857,27,"False",3484466,51,24.59487,0.0315
2020-05-16,"PA","","state",13464,1223,"False",8602865,15,156.506,0.0908
2020-05-16,"PB","","state",4063,183,"False",4018127,25,101.11676,0.045
2020-05-16,"PE","","state",18488,1461,"False",9557071,26,193.44839,0.079
2020-05-16,"PI","","state",2252,72,"False",3273227,22,68.80061,0.032
2020-05-16,"PR","","state",2272,126,"False",11433957,41,19.87064,0.0555
2020-05-16,"RJ","","state",21601,2614,"False",17264943,33,125.11481,0.121
2020-05-16,"RN","","state",3004,136,"False",3506853,24,85.66085,0.0453
2020-05-16,"RO","","state",1918,69,"False",1777225,11,107.92106,0.036
2020-05-16,"RR","","state",1706,49,"False",605761,14,281.62922,0.0287
2020-05-16,"RS","","state",3734,138,"False",11377239,43,32.81991,0.037
2020-05-16,"SC","","state",4678,81,"False",7164788,42,65.29153,0.0173
2020-05-16,"SE","","state",3135,53,"False",2298696,28,136.38167,0.0169
2020-05-16,"SP","","state",61183,4688,"False",45919049,35,133.241,0.0766
2020-05-15,"AC","","state",1785,57,"False",881935,12,202.39587,0.0319
2020-05-15,"AL","","state",3212,187,"False",3337357,27,96.24382,0.0582
2020-05-15,"AM","","state",18392,1331,"False",4144597,13,443.75846,0.0724
2020-05-15,"AP","","state",3630,103,"False",845731,16,429.21449,0.0284
2020-05-15,"BA","","state",8128,281,"False",14873064,29,54.64913,0.0346
2020-05-15,"CE","","state",23059,1566,"False",9132078,23,252.50551,0.0679
2020-05-15,"DF","","state",3787,55,"False",3015268,53,125.59414,0.0145
2020-05-15,"ES","","state",6198,260,"False",4018650,32,154.2309,0.0419
2020-05-15,"GO","","state",1605,67,"False",7018354,52,22.86861,0.0417
2020-05-15,"MA","","state",11592,524,"False",7075181,21,163.84033,0.0452
2020-05-15,"MG","","state",4196,146,"False",21168791,31,19.82163,0.0348
2020-05-15,"MS","","state",479,14,"False",2778986,50,17.2365,0.0292
2020-05-15,"MT","","state",792,26,"False",3484466,51,22.72945,0.0328
2020-05-15,"PA","","state",12626,1175,"False",8602865,15,146.76506,0.0931
2020-05-15,"PB","","state",3739,170,"False",4018127,25,93.05331,0.0455
2020-05-15,"PE","","state",16209,1381,"False",9557071,26,169.60217,0.0852
2020-05-15,"PI","","state",2085,65,"False",3273227,22,63.69861,0.0312
2020-05-15,"PR","","state",2167,124,"False",11433957,41,18.95232,0.0572
2020-05-15,"RJ","","state",19987,2438,"False",17264943,33,115.76638,0.122
2020-05-15,"RO","","state",1794,62,"False",1777225,11,100.94389,0.0346
2020-05-15,"RR","","state",1589,40,"False",605761,14,262.31468,0.0252
2020-05-15,"RS","","state",3695,132,"False",11377239,43,32.47712,0.0357
2020-05-15,"SC","","state",4562,79,"False",7164788,42,63.67251,0.0173
2020-05-15,"SE","","state",2868,50,"False",2298696,28,124.76639,0.0174
2020-05-15,"SP","","state",58378,4501,"False",45919049,35,127.13242,0.0771
2020-05-15,"TO","","state",1279,27,"False",1572866,17,81.31653,0.0211
2020-05-14,"AC","","state",1740,55,"False",881935,12,197.29345,0.0316
2020-05-14,"AL","","state",2972,177,"False",3337357,27,89.0525,0.0596
2020-05-14,"AM","","state",17181,1235,"False",4144597,13,414.5397,0.0719
2020-05-14,"AP","","state",3428,101,"False",845731,16,405.32983,0.0295
2020-05-14,"BA","","state",6955,262,"False",14873064,29,46.76239,0.0377
2020-05-14,"CE","","state",21077,1413,"False",9132078,23,230.8018,0.067
2020-05-14,"DF","","state",3416,51,"False",3015268,53,113.2901,0.0149
2020-05-14,"ES","","state",5813,249,"False",4018650,32,144.65057,0.0428
2020-05-14,"GO","","state",1460,67,"False",7018354,52,20.8026,0.0459
2020-05-14,"MA","","state",10739,496,"False",7075181,21,151.7841,0.0462
2020-05-14,"MG","","state",3950,139,"False",21168791,31,18.65954,0.0352
2020-05-14,"MS","","state",452,14,"False",2778986,50,16.26493,0.031
2020-05-14,"MT","","state",734,24,"False",3484466,51,21.06492,0.0327
2020-05-14,"PA","","state",11479,1095,"False",8602865,15,133.43229,0.0954
2020-05-14,"PB","","state",3361,160,"False",4018127,25,83.64594,0.0476
2020-05-14,"PE","","state",15588,1298,"False",9557071,26,163.10437,0.0833
2020-05-14,"PI","","state",1905,60,"False",3273227,22,58.19945,0.0315
2020-05-14,"PR","","state",2091,122,"False",11433957,41,18.28763,0.0583
2020-05-14,"RJ","","state",19467,2247,"False",17264943,33,112.7545,0.1154
2020-05-14,"RN","","state",2786,122,"False",3506853,24,79.44445,0.0438
2020-05-14,"RO","","state",1686,56,"False",1777225,11,94.867,0.0332
2020-05-14,"RR","","state",1500,37,"False",605761,14,247.62241,0.0247
2020-05-14,"RS","","state",3101,126,"False",11377239,43,27.25617,0.0406
2020-05-14,"SC","","state",4332,78,"False",7164788,42,60.46236,0.018
2020-05-14,"SE","","state",2494,47,"False",2298696,28,108.4963,0.0188
2020-05-14,"SP","","state",54286,4315,"False",45919049,35,118.22109,0.0795
2020-05-14,"TO","","state",1179,24,"False",1572866,17,74.95871,0.0204
2020-05-13,"AC","","state",1694,52,"False",881935,12,192.07765,0.0307
2020-05-13,"AL","","state",2761,164,"False",3337357,27,82.73014,0.0594
2020-05-13,"AM","","state",15816,1160,"False",4144597,13,381.60526,0.0733
2020-05-13,"AP","","state",3005,94,"False",845731,16,355.31392,0.0313
2020-05-13,"BA","","state",6547,236,"False",14873064,29,44.01917,0.036
