"id_date","date","uid","suspects","refuses","confirmado","deads","local","cases","deaths"
1,2020-01-30,"23",1,0,0,0,0,0,0
1,2020-01-30,"31",1,0,0,0,0,0,0
1,2020-01-30,"33",1,0,0,0,0,0,0
1,2020-01-30,"35",3,1,0,0,0,0,0
1,2020-01-30,"41",1,1,0,0,0,0,0
1,2020-01-30,"42",0,2,0,0,0,0,0
1,2020-01-30,"43",2,2,0,0,0,0,0
2,2020-01-31,"23",1,0,0,0,0,0,0
2,2020-01-31,"31",1,0,0,0,0,0,0
2,2020-01-31,"33",0,1,0,0,0,0,0
2,2020-01-31,"35",7,2,0,0,0,0,0
2,2020-01-31,"41",1,1,0,0,0,0,0
2,2020-01-31,"42",1,2,0,0,0,0,0
2,2020-01-31,"43",2,3,0,0,0,0,0
3,2020-02-01,"23",1,0,0,0,0,0,0
3,2020-02-01,"31",0,1,0,0,0,0,0
3,2020-02-01,"33",0,1,0,0,0,0,0
3,2020-02-01,"35",8,2,0,0,0,0,0
3,2020-02-01,"41",1,1,0,0,0,0,0
3,2020-02-01,"42",2,2,0,0,0,0,0
3,2020-02-01,"43",4,3,0,0,0,0,0
4,2020-02-02,"23",1,0,0,0,0,0,0
4,2020-02-02,"31",0,1,0,0,0,0,0
4,2020-02-02,"33",0,1,0,0,0,0,0
4,2020-02-02,"35",8,2,0,0,0,0,0
4,2020-02-02,"41",1,1,0,0,0,0,0
4,2020-02-02,"42",2,2,0,0,0,0,0
4,2020-02-02,"43",4,3,0,0,0,0,0
5,2020-02-03,"23",0,1,0,0,0,0,0
5,2020-02-03,"31",0,1,0,0,0,0,0
5,2020-02-03,"33",1,1,0,0,0,0,0
5,2020-02-03,"35",7,3,0,0,0,0,0
5,2020-02-03,"41",0,2,0,0,0,0,0
5,2020-02-03,"42",2,2,0,0,0,0,0
5,2020-02-03,"43",4,3,0,0,0,0,0
6,2020-02-04,"23",0,1,0,0,0,0,0
6,2020-02-04,"31",0,1,0,0,0,0,0
6,2020-02-04,"33",1,2,0,0,0,0,0
6,2020-02-04,"35",6,5,0,0,0,0,0
6,2020-02-04,"41",0,2,0,0,0,0,0
6,2020-02-04,"42",2,2,0,0,0,0,0
6,2020-02-04,"43",4,3,0,0,0,0,0
7,2020-02-05,"23",0,1,0,0,0,0,0
7,2020-02-05,"31",0,1,0,0,0,0,0
7,2020-02-05,"33",1,2,0,0,0,0,0
7,2020-02-05,"35",4,9,0,0,0,0,0
7,2020-02-05,"41",0,2,0,0,0,0,0
7,2020-02-05,"42",1,3,0,0,0,0,0
7,2020-02-05,"43",5,3,0,0,0,0,0
8,2020-02-06,"23",0,1,0,0,0,0,0
8,2020-02-06,"31",1,1,0,0,0,0,0
8,2020-02-06,"33",1,2,0,0,0,0,0
8,2020-02-06,"35",3,10,0,0,0,0,0
8,2020-02-06,"41",0,2,0,0,0,0,0
8,2020-02-06,"42",1,3,0,0,0,0,0
8,2020-02-06,"43",3,5,0,0,0,0,0
9,2020-02-06,"23",0,1,0,0,0,0,0
9,2020-02-06,"31",1,1,0,0,0,0,0
9,2020-02-06,"33",1,2,0,0,0,0,0
9,2020-02-06,"35",3,10,0,0,0,0,0
9,2020-02-06,"41",0,2,0,0,0,0,0
9,2020-02-06,"42",1,3,0,0,0,0,0
9,2020-02-06,"43",3,5,0,0,0,0,0
10,2020-02-07,"23",0,1,0,0,0,0,0
10,2020-02-07,"31",1,1,0,0,0,0,0
10,2020-02-07,"33",1,2,0,0,0,0,0
10,2020-02-07,"35",3,11,0,0,0,0,0
10,2020-02-07,"41",0,2,0,0,0,0,0
10,2020-02-07,"42",1,3,0,0,0,0,0
10,2020-02-07,"43",2,6,0,0,0,0,0
11,2020-02-08,"23",0,1,0,0,0,0,0
11,2020-02-08,"31",1,1,0,0,0,0,0
11,2020-02-08,"33",1,2,0,0,0,0,0
11,2020-02-08,"35",2,13,0,0,0,0,0
11,2020-02-08,"41",0,2,0,0,0,0,0
11,2020-02-08,"42",1,3,0,0,0,0,0
11,2020-02-08,"43",3,6,0,0,0,0,0
12,2020-02-09,"23",0,1,0,0,0,0,0
12,2020-02-09,"31",1,1,0,0,0,0,0
12,2020-02-09,"33",2,2,0,0,0,0,0
12,2020-02-09,"35",3,13,0,0,0,0,0
12,2020-02-09,"41",1,2,0,0,0,0,0
12,2020-02-09,"42",1,3,0,0,0,0,0
12,2020-02-09,"43",3,6,0,0,0,0,0
13,2020-02-10,"23",0,1,0,0,0,0,0
13,2020-02-10,"31",1,1,0,0,0,0,0
13,2020-02-10,"33",1,3,0,0,0,0,0
13,2020-02-10,"35",3,13,0,0,0,0,0
13,2020-02-10,"41",1,2,0,0,0,0,0
13,2020-02-10,"42",0,4,0,0,0,0,0
13,2020-02-10,"43",1,8,0,0,0,0,0
14,2020-02-11,"23",0,1,0,0,0,0,0
14,2020-02-11,"31",1,1,0,0,0,0,0
14,2020-02-11,"33",2,3,0,0,0,0,0
14,2020-02-11,"35",3,14,0,0,0,0,0
14,2020-02-11,"41",1,2,0,0,0,0,0
14,2020-02-11,"42",0,4,0,0,0,0,0
14,2020-02-11,"43",1,8,0,0,0,0,0
15,2020-02-12,"23",0,1,0,0,0,0,0
15,2020-02-12,"31",1,1,0,0,0,0,0
15,2020-02-12,"33",2,3,0,0,0,0,0
15,2020-02-12,"35",6,14,0,0,0,0,0
15,2020-02-12,"41",1,2,0,0,0,0,0
15,2020-02-12,"42",0,4,0,0,0,0,0
15,2020-02-12,"43",1,8,0,0,0,0,0
16,2020-02-13,"23",0,1,0,0,0,0,0
16,2020-02-13,"31",0,2,0,0,0,0,0
16,2020-02-13,"33",0,5,0,0,0,0,0
16,2020-02-13,"35",3,17,0,0,0,0,0
16,2020-02-13,"41",1,2,0,0,0,0,0
16,2020-02-13,"42",0,4,0,0,0,0,0
16,2020-02-13,"43",2,8,0,0,0,0,0
16,2020-02-13,"53",0,1,0,0,0,0,0
17,2020-02-14,"23",0,1,0,0,0,0,0
17,2020-02-14,"31",0,2,0,0,0,0,0
17,2020-02-14,"33",0,5,0,0,0,0,0
