"date","state","city","place_type","confirmed","deaths","is_last","estimated_population_2019","city_ibge_code","confirmed_per_100k_inhabitants","death_rate"
2020-02-26,NA,NA,NA,0,0,NA,NA,"11",0,0
2020-02-26,NA,NA,NA,0,0,NA,NA,"12",0,0
2020-02-26,NA,NA,NA,0,0,NA,NA,"13",0,0
2020-02-26,NA,NA,NA,0,0,NA,NA,"14",0,0
2020-02-26,NA,NA,NA,0,0,NA,NA,"15",0,0
2020-02-26,NA,NA,NA,0,0,NA,NA,"16",0,0
2020-02-26,NA,NA,NA,0,0,NA,NA,"17",0,0
2020-02-26,NA,NA,NA,0,0,NA,NA,"21",0,0
2020-02-26,NA,NA,NA,0,0,NA,NA,"22",0,0
2020-02-26,NA,NA,NA,0,0,NA,NA,"23",0,0
2020-02-26,NA,NA,NA,0,0,NA,NA,"24",0,0
2020-02-26,NA,NA,NA,0,0,NA,NA,"25",0,0
2020-02-26,NA,NA,NA,0,0,NA,NA,"26",0,0
2020-02-26,NA,NA,NA,0,0,NA,NA,"27",0,0
2020-02-26,NA,NA,NA,0,0,NA,NA,"28",0,0
2020-02-26,NA,NA,NA,0,0,NA,NA,"29",0,0
2020-02-26,NA,NA,NA,0,0,NA,NA,"31",0,0
2020-02-26,NA,NA,NA,0,0,NA,NA,"32",0,0
2020-02-26,NA,NA,NA,0,0,NA,NA,"33",0,0
2020-02-26,"SP","","state",1,0,"False",45919049,"35",0.00218,0
2020-02-26,NA,NA,NA,0,0,NA,NA,"41",0,0
2020-02-26,NA,NA,NA,0,0,NA,NA,"42",0,0
2020-02-26,NA,NA,NA,0,0,NA,NA,"43",0,0
2020-02-26,NA,NA,NA,0,0,NA,NA,"50",0,0
2020-02-26,NA,NA,NA,0,0,NA,NA,"51",0,0
2020-02-26,NA,NA,NA,0,0,NA,NA,"52",0,0
2020-02-26,NA,NA,NA,0,0,NA,NA,"53",0,0
2020-02-27,NA,NA,NA,0,0,NA,NA,"11",0,0
2020-02-27,NA,NA,NA,0,0,NA,NA,"12",0,0
2020-02-27,NA,NA,NA,0,0,NA,NA,"13",0,0
2020-02-27,NA,NA,NA,0,0,NA,NA,"14",0,0
2020-02-27,NA,NA,NA,0,0,NA,NA,"15",0,0
2020-02-27,NA,NA,NA,0,0,NA,NA,"16",0,0
2020-02-27,NA,NA,NA,0,0,NA,NA,"17",0,0
2020-02-27,NA,NA,NA,0,0,NA,NA,"21",0,0
2020-02-27,NA,NA,NA,0,0,NA,NA,"22",0,0
2020-02-27,NA,NA,NA,0,0,NA,NA,"23",0,0
2020-02-27,NA,NA,NA,0,0,NA,NA,"24",0,0
2020-02-27,NA,NA,NA,0,0,NA,NA,"25",0,0
2020-02-27,NA,NA,NA,0,0,NA,NA,"26",0,0
2020-02-27,NA,NA,NA,0,0,NA,NA,"27",0,0
2020-02-27,NA,NA,NA,0,0,NA,NA,"28",0,0
