province_state,country_region,last_update,confirmed,deaths,recovered,latitude,longitude
Hubei,China,2020-03-22T09:43:06Z,67800,3144,59433,30.9756,112.2707
NA,Italy,2020-03-22T18:13:20Z,59138,5476,7024,41.8719,12.5674
NA,Spain,2020-03-22T23:13:18Z,28768,1772,2575,40.4637,-3.7492
NA,Germany,2020-03-22T23:43:02Z,24873,94,266,51.1657,10.4515
NA,Iran,2020-03-22T14:13:06Z,21638,1685,7931,32.4279,53.688
France,France,2020-03-22T23:43:02Z,16018,674,2200,46.2276,2.2137
New York,US,2020-03-22T22:13:32Z,15793,117,0,42.1657,-74.9481
NA,"Korea, South",2020-03-22T11:13:17Z,8897,104,2909,35.9078,127.7669
NA,Switzerland,2020-03-22T23:13:18Z,7245,98,131,46.8182,8.2275
United Kingdom,United Kingdom,2020-03-22T22:43:03Z,5683,281,65,55.3781,-3.436
Netherlands,Netherlands,2020-03-22T14:13:10Z,4204,179,2,52.1326,5.2913
NA,Belgium,2020-03-22T14:13:06Z,3401,75,263,50.5039,4.4699
NA,Austria,2020-03-22T23:43:02Z,3244,16,9,47.5162,14.5501
NA,Norway,2020-03-22T23:13:18Z,2383,7,1,60.472,8.4689
Washington,US,2020-03-22T23:13:22Z,1996,95,0,47.4009,-121.4905
NA,Sweden,2020-03-22T16:43:07Z,1934,21,16,60.1282,18.6435
New Jersey,US,2020-03-22T19:43:03Z,1914,20,0,40.2989,-74.521
California,US,2020-03-22T22:13:28Z,1642,30,0,36.1162,-119.6816
NA,Portugal,2020-03-22T14:13:06Z,1600,14,5,39.3999,-8.2245
NA,Brazil,2020-03-22T23:43:02Z,1593,25,2,-14.235,-51.9253
Guangdong,China,2020-03-22T02:43:02Z,1407,8,1329,23.3417,113.4244
Denmark,Denmark,2020-03-22T14:43:19Z,1395,13,1,56.2639,9.5018
NA,Malaysia,2020-03-22T11:13:17Z,1306,10,139,4.2105,101.9758
Henan,China,2020-03-14T09:53:08Z,1273,22,1250,33.882,113.614
Zhejiang,China,2020-03-22T02:43:02Z,1237,1,1219,29.1832,120.0934
NA,Turkey,2020-03-22T22:43:02Z,1236,30,0,38.9637,35.2433
NA,Czechia,2020-03-22T23:43:02Z,1120,1,6,49.8175,15.473
NA,Japan,2020-03-22T16:13:11Z,1086,40,235,36.2048,138.2529
NA,Israel,2020-03-22T23:13:18Z,1071,1,37,31.0461,34.8516
Illinois,US,2020-03-22T22:13:32Z,1049,9,0,40.3495,-88.9861
