"região","sigla","date","casosNovos","casosAcumulados","obitosNovos","obitosAcumulados"
"Sudeste","RJ",2020-01-30,0,0,0,0
"Sudeste","RJ",2020-01-31,0,0,0,0
"Sudeste","RJ",2020-02-01,0,0,0,0
"Sudeste","RJ",2020-02-02,0,0,0,0
"Sudeste","RJ",2020-02-03,0,0,0,0
"Sudeste","RJ",2020-02-04,0,0,0,0
"Sudeste","RJ",2020-02-05,0,0,0,0
"Sudeste","RJ",2020-02-06,0,0,0,0
"Sudeste","RJ",2020-02-07,0,0,0,0
"Sudeste","RJ",2020-02-08,0,0,0,0
"Sudeste","RJ",2020-02-09,0,0,0,0
"Sudeste","RJ",2020-02-10,0,0,0,0
"Sudeste","RJ",2020-02-11,0,0,0,0
"Sudeste","RJ",2020-02-12,0,0,0,0
"Sudeste","RJ",2020-02-13,0,0,0,0
"Sudeste","RJ",2020-02-14,0,0,0,0
"Sudeste","RJ",2020-02-15,0,0,0,0
"Sudeste","RJ",2020-02-16,0,0,0,0
"Sudeste","RJ",2020-02-17,0,0,0,0
"Sudeste","RJ",2020-02-18,0,0,0,0
"Sudeste","RJ",2020-02-19,0,0,0,0
"Sudeste","RJ",2020-02-20,0,0,0,0
"Sudeste","RJ",2020-02-21,0,0,0,0
"Sudeste","RJ",2020-02-22,0,0,0,0
"Sudeste","RJ",2020-02-23,0,0,0,0
"Sudeste","RJ",2020-02-24,0,0,0,0
"Sudeste","RJ",2020-02-25,0,0,0,0
"Sudeste","RJ",2020-02-26,0,0,0,0
"Sudeste","RJ",2020-02-27,0,0,0,0
"Sudeste","RJ",2020-02-28,0,0,0,0
"Sudeste","RJ",2020-02-29,0,0,0,0
"Sudeste","RJ",2020-03-01,0,0,0,0
"Sudeste","RJ",2020-03-02,0,0,0,0
"Sudeste","RJ",2020-03-03,0,0,0,0
"Sudeste","RJ",2020-03-04,0,0,0,0
"Sudeste","RJ",2020-03-05,1,1,0,0
"Sudeste","RJ",2020-03-06,0,1,0,0
"Sudeste","RJ",2020-03-07,1,2,0,0
"Sudeste","RJ",2020-03-08,1,3,0,0
"Sudeste","RJ",2020-03-09,0,3,0,0
"Sudeste","RJ",2020-03-10,5,8,0,0
"Sudeste","RJ",2020-03-11,5,13,0,0
"Sudeste","RJ",2020-03-12,3,16,0,0
"Sudeste","RJ",2020-03-13,0,16,0,0
"Sudeste","RJ",2020-03-14,6,22,0,0
"Sudeste","RJ",2020-03-15,2,24,0,0
"Sudeste","RJ",2020-03-16,7,31,0,0
"Sudeste","RJ",2020-03-17,2,33,0,0
"Sudeste","RJ",2020-03-18,12,45,0,0
"Sudeste","RJ",2020-03-19,20,65,2,2
"Sudeste","RJ",2020-03-20,44,109,0,2
"Sudeste","RJ",2020-03-21,10,119,1,3
"Sudeste","RJ",2020-03-22,67,186,0,3
"Sudeste","RJ",2020-03-23,47,233,1,4
"Sudeste","RJ",2020-03-24,72,305,2,6
"Sudeste","RJ",2020-03-25,65,370,0,6
"Sudeste","RJ",2020-03-26,51,421,3,9
"Sudeste","RJ",2020-03-27,72,493,1,10
"Sudeste","RJ",2020-03-28,65,558,3,13
"Sudeste","RJ",2020-03-29,42,600,4,17
